"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"ミキ的にも、来月から、
また頑張ればいいって思うな","Miki, don't think you should work hard again next month","Miki-like, starting next month,
Don't think you can't try again.","Miki, don't think you should
work hard again next month",""
"今日のルミナスのライブ、最高の出来だった。
みんなよく頑張った！","Luminous' performance today was the best. Good job, everyone!","Today's Luminous concert was the best of the best.
Everyone did a great job!","Luminous' performance today was
the best. Good job, everyone!",""
"そして、『スターリットドーム』がゴールだ。
今日はゆっくり休んで、明日からに備えよう！","And the Starlit Dome is our goal. Let's get some rest and prepare for tomorrow!","And ""Starlit Dome"" is the goal.
Rest up today and get ready for tomorrow!","And the Starlit Dome is our goal. Let's
get some rest and prepare for tomorrow!",""
"プロデューサーさんの言う通りですね。
みんな、今日はゆっくり休もう！","Producer is right. Everyone, let's get some rest!","Producer is right.
Let's all take a good rest today!","Producer is right.
Everyone, let's get some rest!",""
"ああ、これからまた……、
更なる輝きを身にまとえるように","Yeah. Let's do it again sometime, so that you can shine even brighter from here on out""","Oh, I'm going to go back to ...... now,
So that you can wear even more brilliance.","Yeah. Let's do it again sometime, so that you
can shine even brighter from here on out",""
"うむ。使徒の讃頌に報ずるため、
共に魔力を高めよう","Indeed. Let us increase our magic power together in order to repay the praise of this disciple, then we shall do so as well""","Mm...to reward the Apostle's praises,
Together we can raise the magic.","Indeed. Let us increase our magic power together in order to repay
the praise of this disciple, then we shall do so as well",""
"（これから、
もっとレベルアップしたいです～♪）","(I want to level up more from now on~♪)","(From now on,
I want to improve my Level up more!)","(I want to level up
more from now on~♪)",""
"はい！　みんなで一緒に、
いっぱいいーっぱいがんばりましょう！","Yes! Let's all do our best together, !","Yes! All together,
Let's do our best!","Yes! Let's all do
our best together, !",""
"はいっ！
これからも、頑張っていきましょう！","Yes! Let's do our best from now on, too","Yes!
Let's keep up the good work!","Yes! Let's do our
best from now on, too","Yes!"
"……ふぅ。みんなが着替えている間は、
いつもながら手持ち無沙汰になってしまうな","Phew. While everyone's changing, I always end up with nothing better to do than sit around and wait for the next couple of minutes or so before we go out on our first day as a group""","...... phew...while everyone else is getting dressed,
You're out of time, as usual.","Phew. While everyone's changing, I always end up with nothing better to do than sit around
and wait for the next couple of minutes or so before we go out on our first day as a group",""
"……ん？
そこにいるのは……亜夜じゃないか","...Hm? Isn't that...Aya over there","...... hmm?
Isn't that ...... sub night there?","...Hm? Isn't that...Aya
over there",""
"…………また会ったわね。
ひとまず、お疲れさま……","...We meet again. For now, good work..","............ We meet again.
For now, good job ......","...We meet again.
For now, good work..",""
"亜夜もお疲れさま。
ディアマントのライブ、すごかったと思う","You did great too, Aya. I think the Diamant concert was amazing","Good work on the sub night as well.
Diamant live, I think it was amazing.","You did great too, Aya. I think
the Diamant concert was amazing",""
"当たり前でしょ。
９６１プロの実力、甘く見ないで","Of course. Don't underestimate the pros of ","It's obvious.
Don't underestimate the power of 961 Pro.","Of course. Don't underestimate
the pros of ","It goes without saying. 
Don't underestimate the abilities of a 961 Pro."
"……そうだ。
心白はなんて言っていたのかしら？","...That's right. What did Kohaku say?","...... Yes.
I wonder what Shinbaku had to say about that?","...That's right.
What did Kohaku say?",""
"俺もルミナスのみんなも、
クオリティの高さに圧倒されていたよ","Luminous and I were both overwhelmed by the quality","Me and everyone at Luminous,
I was blown away by the quality.","Luminous and I were both
overwhelmed by the quality",""
"ま、そうなるでしょうね。
あたしたちのパフォーマンスは完璧なんだから","Well, I'm sure that would be the case. Our performance is perfect","Well, it will be.
Our performance is perfect.","Well, I'm sure that would be the
case. Our performance is perfect",""
"ルミナスも悪くなかったけど、
ディアマントの前では霞んでしまうわね","Luminous wasn't bad either, but it gets hazy in front of Diamant","Luminous wasn't bad though,
It's all a bit hazy in front of Diamant.","Luminous wasn't bad either, but
it gets hazy in front of Diamant",""
"でも、あたしたちは、更に上を目指すつもり。
ルミナスが追いつくヒマなんてないわ","But we're aiming even higher. Luminous has no time to catch up with us!","But we intend to go even higher.
There's no time for luminous to catch up.","But we're aiming even higher.
Luminous has no time to catch up with us!",""
"そして、あたしは心白よりも……上へ行くの","And I'm going... higher than Kohaku","And I'm going to ...... higher than Xinbai.","And I'm going... higher than Kohaku",""
"誰からも認められるアイドルになるために！","To become an idol recognized by everyone!","To become an idol recognized by everyone!","To become an idol recognized by everyone!",""
"誰からも認められるアイドルになる……。
心白からも……か？","I'm going to become an idol recognized by everyone... By Kohaku too?","Become an idol recognized by everyone. ......
Is it also ...... from mind white?","I'm going to become an idol recognized
by everyone... By Kohaku too?",""
"…………えっ？","......Eh?","............ eh?","......Eh?",""
"あたしが心白に認められたい？
……馬鹿なこと言わないでよっ！","Do you want Kohaku to approve of me? ...Don't be stupid!","Do I want to be recognized by Shinbaku?
...... Don't be silly!","Do you want Kohaku to
approve of me? ...Don't be stupid!",""
"心白に勝つことが、『誰からも認められるアイドル』
になるっていうのは……変じゃないか？","Isn't it strange... that beating Kohaku would become an idol acknowledged by everyone?","Winning the heart white is ""an idol recognized by everyone"".
Isn't it ...... strange to say that it would be","Isn't it strange... that beating Kohaku would
become an idol acknowledged by everyone?",""
